model,classifier,accuracy,f1_macro,precision_macro,recall_macro
TF-IDF (5k features),Naive Bayes,0.6773825065274152,0.6772111280108657,0.6838535848697115,0.6763679817929158
TF-IDF (5k features),Random Forest,0.6863577023498695,0.6852578232822877,0.6907901111369856,0.6852994525839554
TF-IDF (5k features),SVM,0.6954960835509139,0.6950423178028858,0.6974327367852817,0.6948585775157508
TF-IDF (5k features),LightGBM,0.699902088772846,0.6998415058911908,0.7010681327926994,0.699465520328786
"TF-IDF (1-3 grams, 10k)",LR,0.7142996965841245,0.7143627317834329,0.7164639844248155,0.713835999562774
all-minilm,LR,0.5387099931486737,0.5369492624340614,0.5403471452293055,0.5377809858179566
all-minilm,RF,0.5348928256826857,0.5308854527436068,0.5737603413765143,0.5331147136846579
paraphrase-multilingual-minilm,LR,0.6285602427327004,0.6271203449536485,0.6278509050695227,0.6279214395915839
paraphrase-multilingual-minilm,RF,0.6154448468239209,0.6138135304464,0.6223162376781494,0.6143267733256502
paraphrase-xlm-r,LR,0.6378584711754919,0.6365662369471683,0.6372368526347771,0.6372082097050812
paraphrase-xlm-r,RF,0.6176959968679652,0.61658924712891,0.6257419973461654,0.6165554478131713
bert-base-uncased,LR,0.6044827248703142,0.6033419471543072,0.6045907886615094,0.6037834149823432
bert-base-uncased,RF,0.5484976020358227,0.5449227638365577,0.5901012795229351,0.5468920616315288
bert-multilingual,LR,0.6384457277087208,0.6370359594023539,0.6384558426711915,0.6376995503518611
bert-multilingual,RF,0.6045806009591856,0.6014722991762012,0.6216780092653346,0.6029162557340849
rubert,LR,0.6473524517960262,0.6461000901510164,0.6465301622841954,0.6467102662385247
rubert,RF,0.622491925222668,0.6211278953733411,0.6307207274647916,0.621287065877779
Ensemble-RAG,BERT+LR,0.7165508466281687,0.7159241162314615,0.7190302225743496,0.7158910645378503
