model,classifier,accuracy,f1_macro,precision_macro,recall_macro
all-minilm,LR,0.5391014975041597,0.5373819933965144,0.5407845516951705,0.5381803531982117
all-minilm,LR,0.537535480082216,0.5362044184743144,0.5381164327899723,0.5367556961484365
all-minilm,RF,0.5363609670157581,0.5328633402861347,0.5772508170649223,0.5347301721459673
paraphrase-multilingual-minilm,LR,0.6282666144660859,0.6269873344970128,0.6271799982844762,0.6277171373070352
paraphrase-multilingual-minilm,RF,0.6149554663795634,0.6130602195687932,0.6192106373837252,0.6139395165548831
paraphrase-xlm-r,LR,0.6365860820201624,0.6354622590044768,0.6356958546907069,0.6360238854972801
paraphrase-xlm-r,RF,0.6170108642458647,0.6159899017083749,0.6220302206244708,0.6160416837473872
bert-base-uncased,LR,0.6031124596261134,0.6021551655754002,0.6025484997783219,0.602565543018689
bert-base-uncased,RF,0.5446804345698346,0.5417375661241838,0.5889600013408384,0.5432395840669471
bert-multilingual,LR,0.6374669668200059,0.6361086159795676,0.6368958174999374,0.6367893589829376
bert-multilingual,RF,0.6057551140256435,0.6037703036016938,0.6214424489921551,0.6042653141148993
rubert,LR,0.6461779387295684,0.6450868246616875,0.6452212737811844,0.6456158231147495
rubert,RF,0.6221004208671822,0.6211173758225743,0.6285821884223051,0.6210212026959061
